Artist,Streams,Tracks,Genres
Aitana,1384755,"Mon Amour - Remix, Formentera","latin talent show, spanish pop"
Blxst,1841243,"Die Hard, Die Hard, Chosen (feat. Ty Dolla $ign)","pop rap, westcoast flow"
Amanda Reifer,1521083,"Die Hard, Die Hard",barbadian pop
24kGoldn,1865439,"Mood (feat. iann dior), Mood (feat. iann dior), Tick Tock (feat. 24kGoldn)",cali rap
iann dior,1954373,"Mood (feat. iann dior), Mood (feat. iann dior), thought it was (feat. Machine Gun Kelly & Travis Barker), let you, shots in the dark (with Trippie Redd)",melodic rap
Oscu,2290367,"Numero 1, Si Me Tomo una Cerveza - Remix, Money, Star",trap argentino
Nobeat,1276178,"Numero 1, Medio Crazy (with KHEA)",reggaeton colombiano
ACRAZE,1050437,Do It To It,"pop dance, tech house"
Cherish,1050437,Do It To It,"atl hip hop, girl group, hip pop, r&b, southern hip hop, urban contemporary"
John Lennon,1048384,Happy Xmas (War Is Over) - Remastered 2010,"beatlesque, classic rock, rock"
Yoko Ono,1048384,Happy Xmas (War Is Over) - Remastered 2010,"experimental, experimental pop"
Sia,2168133,"Snowman, Together, Santa's Coming for Us, Del Mar, Floating Through Space, Floating Through Space, Elastic Heart, Unstoppable, Dynamite, Together, Let's Love","australian dance, australian pop, pop"
Danny Ocean,3241566,"Fuera del mercado, Tú no me conoces, Miedito o Qué? (feat. KAROL G), No Eres Tu Soy Yo (feat. Danny Ocean), Tú no me conoces, Me Rehúso","pop venezolano, reggaeton, trap latino, urbano latino"
HVME,1258095,"Goosebumps - Remix, Goosebumps",slap house
Chris Jedi,1022191,La Llevo Al Cielo (Ft. Ñengo Flow),"reggaeton, trap latino, urbano latino"
Ñengo Flow,1251768,"La Llevo Al Cielo (Ft. Ñengo Flow), Diles","reggaeton, trap latino, urbano latino"
Ke Personajes,2676416,"Si No Te Tengo / Ángel / Aquello Que Pasó, Si No Te Tengo / Ángel / Aquello Que Pasó, Cómo estás, Cómo estás, Cómo estás",cumbia pop
The Ronettes,1019226,Sleigh Ride,"brill building pop, classic girl group, motown, rock-and-roll"
Riton,1012330,Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,"house, pop dance, uk dance"
Nightcrawlers,1012330,Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,"disco house, hip house, uk dance, vocal house"
Mufasa & Hypeman,1012330,Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,pop dance
Polimá Westcoast,1554969,"ULTRA SOLO, ULTRA SOLO REMIX","trap chileno, trap triste, urbano chileno, urbano latino"
Pailita,2013071,"ULTRA SOLO, ULTRA SOLO REMIX, Me Arrepentí","drill chileno, urbano chileno, urbano latino"
Post Malone,8901724,"I Like You (A Happier Song) (with Doja Cat), One Right Now (with The Weeknd), Cooped Up (with Roddy Ricch), Motley Crew, Cooped Up (with Roddy Ricch), Wasting Angels (with The Kid LAROI), One Right Now (with The Weeknd), Sunflower - Spider-Man: Into the Spider-Verse, Circles, Wrapped Around Your Finger, Reputation, Lemon Tree, I Cannot Be (A Sadder Song) (with Gunna), I Fall Apart, Insane, I DID IT (feat. Post Malone, Megan Thee Stallion, Lil Baby & DaBaby), Love/Hate Letter To Alcohol (with Fleet Foxes), Livin It Up (with Post Malone & A$AP Rocky), rockstar (feat. 21 Savage), Only Wanna Be With You - Pokémon 25 Version","dfw rap, melodic rap, pop, rap"
Kali Uchis,1966922,"telepatía, SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy), SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy)",colombian pop
J. Cole,11010499,"m y . l i f e (with 21 Savage & Morray), a m a r i, p r i d e . i s . t h e . d e v i l (with Lil Baby), i n t e r l u d e, i n t e r l u d e, 9 5 . s o u t h, l e t . g o . m y . h a n d (with Bas & 6LACK), a p p l y i n g . p r e s s u r e, 1 0 0 . m i l ‘ (with Bas), p u n c h i n ‘ . t h e . c l o c k, t h e . c l i m b . b a c k, No Role Modelz, h u n g e r . o n . h i l l s i d e (with Bas), c l o s e, No Role Modelz, Your Heart, She Knows (feat. Amber Coffman & Cults), Wet Dreamz, Wet Dreamz, [The Jackie] (with J. Cole & Lil Tjay)","conscious hip hop, hip hop, north carolina hip hop, rap"
Morray,986775,m y . l i f e (with 21 Savage & Morray),pop rap
Carolina Gaitán - La Gaita,1231492,"We Don't Talk About Bruno, No se habla de Bruno",movie tunes
Mauro Castillo,1231492,"We Don't Talk About Bruno, No se habla de Bruno","modern salsa, movie tunes, salsa colombiana"
Adassa,984626,We Don't Talk About Bruno,movie tunes
Diane Guerrero,1327405,"We Don't Talk About Bruno, What Else Can I Do?",movie tunes
Stephanie Beatriz,2040547,"We Don't Talk About Bruno, The Family Madrigal, What Else Can I Do?, Waiting On A Miracle","hollywood, movie tunes"
Encanto - Cast,1434895,"We Don't Talk About Bruno, The Family Madrigal",movie tunes
Morat,1722639,"París, Consejo de Amor, No Se Va",colombian pop
Daddy Yankee,6055100,"Relación - Remix, X ÚLTIMA VEZ, PROBLEMA, RUMBATÓN, Mayor Que Usted, Sal y Perrea - Remix, REMIX, La Santa, PASATIEMPO, PARA SIEMPRE, AGUA, EL PONY, SÚBELE EL VOLUMEN, Don Don","latin hip hop, reggaeton, trap latino, urbano latino"
BTS,7252631,"Butter, My Universe, My Universe, Permission to Dance, Butter, Left and Right (Feat. Jung Kook of BTS), Dynamite, Yet To Come, Permission to Dance, Girl Of My Dreams (with SUGA of BTS), Run BTS, Butter - Megan Thee Stallion Remix, Intro: Singularity, Life Goes On, Film out, For Youth, Born Singer","k-pop, k-pop boy group, pop"
Luude,3044244,"Down Under (feat. Colin Hay), Down Under (feat. Colin Hay), Down Under (feat. Colin Hay), Big City Life",aussietronica
Colin Hay,2786279,"Down Under (feat. Colin Hay), Down Under (feat. Colin Hay), Down Under (feat. Colin Hay)",solo wave
Frank Sinatra,1268536,"Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet), Jingle Bells - Remastered 1999, Santa Claus Is Comin' to Town","adult standards, easy listening, lounge"
Sleepy Hallow,1488109,"2055, Die Young (feat. 347aidan)","brooklyn drill, nyc rap"
Lauren Spencer-Smith,2211990,"Fingers Crossed, Fingers Crossed, Flowers","alt z, gen z singer-songwriter"
OneRepublic,2316421,"I Ain't Worried, Run, Run, Counting Stars, Lose Somebody, Sunshine, West Coast, Someday","piano rock, pop"
Joel Corry,2267241,"Head & Heart (feat. MNEK), BED, OUT OUT (feat. Charli XCX & Saweetie)","dance pop, pop dance, uk dance"
MNEK,1382713,"Head & Heart (feat. MNEK), Where Did You Go? (feat. MNEK)","house, pop dance, uk contemporary r&b, uk dance, uk pop"
Band Aid,943791,Do They Know It's Christmas? - 1984 Version,musical advocacy
THE ANXIETY,940573,Meet Me At Our Spot,modern alternative pop
WILLOW,3348459,"Meet Me At Our Spot, Wait a Minute!, t r a n s p a r e n t s o u l feat. Travis Barker, t r a n s p a r e n t s o u l feat. Travis Barker, psychofreak (feat. WILLOW), emo girl (feat. WILLOW), emo girl (feat. WILLOW)","afrofuturism, pop, post-teen pop, pov: indie"
Tyler Cole,940573,Meet Me At Our Spot,bedroom soul
Big Apple,2099759,"Que a Pasao, Que a Pasao - Remix, De Ahí",cumbia 420
Lost Frequencies,996812,"Where Are You Now, Questions, Rise","belgian edm, edm, pop dance, tropical house"
Calum Scott,1280764,"Where Are You Now, Dancing On My Own, Rain In Ibiza",pop
Spacey Jane,2485932,"Booster Seat, Lots of Nothing, It's Been a Long Day, Sitting Up, Pulling Through, Lunchtime","australian indie rock, australian surf rock, fremantle indie, perth indie"
José Feliciano,924438,Feliz Navidad,"latin pop, puerto rican pop"
Cardi B,2742123,"Up, Rumors (feat. Cardi B), WAP (feat. Megan Thee Stallion), Hot Shit (feat. Ye & Lil Durk)","pop, rap"
P!nk,2797060,"Cover Me In Sunshine, Cover Me In Sunshine, One Too Many, All I Know So Far, All I Know So Far","dance pop, pop"
Willow Sage Hart,1670464,"Cover Me In Sunshine, Cover Me In Sunshine",show tunes
Stunna Gambino,918944,NOT SOBER (feat. Polo G & Stunna Gambino),nyc rap
Reik,1953196,"Los Tragos, Loquita, Si Me Dices Que Sí, Perfecta","latin arena pop, latin pop, mexican pop, reggaeton"
Jona Mix,1436767,"Cosas Malas - Remix, Jordan (Turreo Edit) - Remix, Hoy Se Chicha - Remix","cumbia 420, previa"
Homer El Mero Mero,3097144,"Que a Pasao - Remix, Pa Tra Rkt - Remix, Titubeo, Sembrando el Terror - Remix, LOGI",argentine hip hop
Alvaro Diaz,908345,Problemón,"trap boricua, urbano latino"
Milly,905360,No Te Enamores - Remix,boston hip hop
Jay Wheeler,3720835,"No Te Enamores - Remix, La Curiosidad, La Curiosidad (feat. Dj Nelson, Jhay Cortez, Lunay & Kendo Kaponi) - Blue Grand Prix Remix, Si Te Veo, Vete Pal Carajo, Fragancia (with Jay Wheeler), Desde Mis Ojos - Remix, OTRO FILI, Dos Tragos","reggaeton, trap latino, urbano latino"
Amenazzy,905360,No Te Enamores - Remix,"rap dominicano, reggaeton, trap latino, urbano latino"
Tony Dize,901324,La Corriente,"reggaeton, urbano latino"
NEIKED,900310,Better Days (NEIKED x Mae Muller x Polo G),scandipop
Mae Muller,900310,Better Days (NEIKED x Mae Muller x Polo G),"uk contemporary r&b, uk pop"
DJ Nelson,1578590,"La Curiosidad, La Curiosidad (feat. Dj Nelson, Jhay Cortez, Lunay & Kendo Kaponi) - Blue Grand Prix Remix, Vete Pal Carajo","reggaeton, urbano latino"
Andy Williams,886920,It's the Most Wonderful Time of the Year,"adult standards, easy listening"
CKay,1641642,"love nwantiti (feat. Dj Yo! & AX'EL) - Remix, love nwantiti (ah ah ah), love nwantiti (feat. ElGrande Toto) - North African Remix","afro r&b, afrobeats"
Randy,1287782,"JUNGLE, 23 (With Ape Drums)","contemporary country, country, country gospel, country road"
C. Tangana,2487027,"Demasiadas Mujeres, Ateo, Tú Me Dejaste De Querer, Tú Me Dejaste De Querer",urbano espanol
Fili Wey,1147741,"Pa Tra Rkt - Remix, Piola",trap argentino
John C,1203089,"Pa Tra Rkt - Remix, Remake","bebop, free jazz, jazz, jazz saxophone, vocal jazz"
Chris Rea,860367,Driving Home for Christmas,"soft rock, sophisti-pop"
Roddy Ricch,2696785,"Cooped Up (with Roddy Ricch), Cooped Up (with Roddy Ricch), ROCKSTAR (feat. Roddy Ricch), late at night, The Box","melodic rap, rap, trap"
Juanka,1781294,"Tamo Chelo - Remix, BICI, La Jeepeta - Remix","reggaeton, reggaeton flow, trap latino, urbano latino"
Tones And I,3765029,"Fly Away, Cloudy Day, Dance Monkey, Cloudy Day, Won't Sleep, Fly Away, Dance Monkey, Never Seen The Rain, Eyes Don’t Lie",australian pop
Dave,2511571,"Starlight, Clash (feat. Stormzy), Clash (feat. Stormzy), Verdansk, We're All Alone, System (feat. WizKid)",uk hip hop
Beyoncé,851780,BREAK MY SOUL,"pop, r&b"
The La Planta,2922983,"Barrio Prendido, Bonita, Te Mentiría, Salimo en Caravana, El Cielo a un Diablo, Ojitos Chiquititos, Tal Vez (Remix)",cumbia pop
Nestor En Bloque,1450187,"Barrio Prendido, Remake, Una Calle Nos Separa","cuarteto, cumbia 420, cumbia paraguaya, cumbia pop, cumbia villera"
Marka Akme,1217893,"Barrio Prendido, Se Picó","cumbia pop, cumbia villera"
MOMO,850362,Barrio Prendido,"k-pop, k-pop girl group"
CA7RIEL,1031143,"NIÑO GORDO FLACO, Muero de Fiesta Este Finde","argentine indie, electronica argentina, trap argentino"
Lorde,3085234,"Solar Power, Mood Ring, Solar Power, Stoned at the Nail Salon, Stoned at the Nail Salon, The Path, California, Secrets from a Girl (Who's Seen it All)","art pop, metropopolis, nz pop, pop"
Sampha,813539,Father Time (feat. Sampha),"alternative r&b, indie soul"
The Jackson 5,803725,Santa Claus Is Coming To Town,"motown, soul"
Lola Indigo,1480382,"High (Remix), La Niña de la Escuela",spanish pop
MEDUZA,1077584,"Paradise (feat. Dermot Kennedy), Lose Control, Tell It To My Heart","edm, pop dance, pop house, uk dance"
Dermot Kennedy,882418,"Paradise (feat. Dermot Kennedy), Giants, Better Days","folk-pop, irish pop, uk pop"
The Wiggles,789982,Elephant - triple j Like A Version,"australian children's music, children's music"
Delaossa,789191,Me Has Dejado,"boom bap espanol, rap canario, spanish hip hop, urbano espanol"
Tate McRae,4662731,"you broke me first, she's all i wanna be, she's all i wanna be, chaotic, feel like shit, You, that way, what would you do?, what would you do?, don't come back, working, chaotic","alt z, pop"
Natti Natasha,2651920,"Ram Pam Pam, Ayer Me Llamó Mi Ex – Remix, Mayor Que Usted, Ram Pam Pam, Las Nenas (feat. La Duraca), Imposible Amor","latin pop, rap latina, reggaeton, urbano latino"
Shakin' Stevens,781333,Merry Christmas Everyone,"classic uk pop, rockabilly"
Imagine Dragons,2638285,"Enemy (with JID) - from the series Arcane League of Legends, Enemy (with JID) - from the series Arcane League of Legends, Enemy (with JID) - from the series Arcane League of Legends, Believer, Wrecked, Follow You, Sharks, Bones, Wrecked, Follow You, Bones, Sharks, Demons","modern rock, pop, rock"
JID,1918445,"Enemy (with JID) - from the series Arcane League of Legends, Enemy (with JID) - from the series Arcane League of Legends, Enemy (with JID) - from the series Arcane League of Legends","hip hop, rap, underground hip hop"
League of Legends,1918445,"Enemy (with JID) - from the series Arcane League of Legends, Enemy (with JID) - from the series Arcane League of Legends, Enemy (with JID) - from the series Arcane League of Legends","speedrun, video game music"
Fer Palacio,2976837,"Ya No Más, Previa y Cachengue 40 - Remix, Previa y Cachengue 39, Previa y Cachengue 35 - Remix, De Ahí, Previa y Cachengue 38 - Remix, Ponte Pa' Mix, Previa y Cachengue 36 - Remix, La Playax, Previa y Cachengue 33 - Remix","pop argentino, rkt"
DJ Alex,2228547,"Ya No Más, Sembrando el Terror - Remix, TEKA | E6, INDIQUEN | E3, Clandestina 420, OREGANO | E1",cumbia 420
Santiago Saez,763920,Ya No Más,pop argentino
Daryl Hall & John Oates,763580,Jingle Bell Rock - Daryl's Version,"album rock, classic rock, heartland rock, mellow gold, rock, singer-songwriter, soft rock, yacht rock"
CJ,1458538,"Whoopty, Whoopty",nyc rap
Tems,1645024,"WAIT FOR U (feat. Drake & Tems), Fountains (with Tems), Essence (feat. Justin Bieber & Tems)","afro r&b, afrobeats, alte, nigerian pop"
ATB,755393,Your Love (9PM),"german dance, german techno, german trance, trance"
Topic,1361365,"Your Love (9PM), Breaking Me, In Your Arms (For An Angel), Chain My Heart, My Heart Goes (La Di Da) (feat. Topic), Kernkraft 400 (A Better Day)","german dance, pop dance, pop edm, uk dance"
A7S,1231372,"Your Love (9PM), Breaking Me, Kernkraft 400 (A Better Day)","pop dance, scandipop, uk dance"
Skrillex,1827537,"In Da Getto, In Da Getto, Don’t Go (with Justin Bieber & Don Toliver)","brostep, complextro, edm, electro, pop dance"
Mauri Mansilla,751908,Rkteando,previa
Lele Pons,750974,Se Te Nota (with Guaynaa),"latin pop, latin viral pop, viral pop"
LOUTA,749967,QUEREME,"argentine alternative rock, argentine indie, electronica argentina, pop argentino"
Lunay,2806576,"No Toque Mi Naik, Ella - Remix, Ella - Remix, La Curiosidad (feat. Dj Nelson, Jhay Cortez, Lunay & Kendo Kaponi) - Blue Grand Prix Remix, TODO O NADA, Cuando Sera","reggaeton, reggaeton flow, trap latino, urbano latino"
Coldplay,2983214,"My Universe, My Universe, Christmas Lights, Let Somebody Go, Higher Power, Yellow, Something Just Like This, Higher Power","permanent wave, pop"
Gunna,2952668,"pushin P (feat. Young Thug), Lemonade (feat. Gunna, Don Toliver & NAV), Solid (feat. Drake), pushin P (feat. Young Thug), I Cannot Be (A Sadder Song) (with Gunna), P power (feat. Drake), His & Hers (feat. Don Toliver, Lil Uzi Vert & Gunna), Big (feat. Gunna), Diamonds Dancing (feat. Travis Scott)","atl hip hop, melodic rap, rap, trap"
RAYE,960791,"BED, Secrets","uk contemporary r&b, uk pop"
David Guetta,1842893,"BED, Heartbreak Anthem (with David Guetta & Little Mix), Remember (and David Guetta), Love Tonight - David Guetta Remix Edit, Floating Through Space, If You Really Love Me (How Will I Know), Memories (feat. Kid Cudi), Crazy What Love Can Do, Floating Through Space, Big (feat. Gunna), Family (feat. Bebe Rexha, Ty Dolla $ign & A Boogie Wit da Hoodie), Hero, Let's Love","big room, dance pop, edm, pop, pop dance"
Kelly Clarkson,1124728,"Underneath the Tree, Santa, Can’t You Hear Me","dance pop, pop, talent show"
Sigala,729517,Lasting Lover,"dance pop, edm, pop dance, uk dance"
James Arthur,1551889,"Lasting Lover, Say You Won't Let Go, Train Wreck, Questions, September","pop, talent show, uk pop"
Dillom,2934482,"DUDADE, Tinty Nasty, OPA, PELOTUDA, Sauce, HEGEMONICA, 220",trap argentino
Brray,1115259,"Matatan - Remix, La Jeepeta - Remix","reggaeton, reggaeton flow, trap latino, urbano latino"
Dove Cameron,716904,Boyfriend,pop
Rancid Eddie,1089303,"Dry, Dry",australian surf rock
Chance the Rapper,1353028,"Holy (feat. Chance The Rapper), Holy (feat. Chance The Rapper)","chicago rap, conscious hip hop, hip hop, pop rap, rap"
Charlie Puth,2198892,"Light Switch, Light Switch, Left and Right (Feat. Jung Kook of BTS), That's Hilarious","pop, viral pop"
Rombai,1232553,"Si Me Tomo una Cerveza - Remix, Noche Loca, Bésame - Remix",cumbia pop
Agapornis,992554,"Si Me Tomo una Cerveza - Remix, Flasheaste Amor","cumbia pop, cumbia villera"
Pop Smoke,6134423,"What You Know Bout Love, Woo Baby (feat. Chris Brown), For The Night (feat. Lil Baby & DaBaby), Demeanor (feat. Dua Lipa), Tell The Vision (feat. Kanye West & Pusha T), Dior, Bout A Million (feat. 42 Dugg & 21 Savage), AP - Music from the film Boogie, Mood Swings (feat. Lil Tjay), Genius (feat. Lil Tjay & Swae Lee), Hello (feat. A Boogie Wit da Hoodie), Clueless (with Pop Smoke & Fivio Foreign), More Time, Manslaughter (feat. Rick Ross & The-Dream), Element, Show Out (with Skepta & Pop Smoke), Brush Em (feat. Rah Swish), Coupe, Invincible","brooklyn drill, rap"
Miley Cyrus,3255917,"WITHOUT YOU (with Miley Cyrus), Prisoner (feat. Dua Lipa), Midnight Sky, Party In The U.S.A., We Can't Stop, Nothing Breaks Like a Heart (feat. Miley Cyrus), Angels Like You, AM I DREAMING (feat. Miley Cyrus), The Climb - Stripped, Rockin' Around The Christmas Tree",pop
Clinton Kane,1016255,"I GUESS I'M IN LOVE, CHICKEN TENDIES","alt z, gen z singer-songwriter"
Asan,1024248,"Teca (Remix) [feat. Neo Pistea, Midel, Rei & Zecca], Luna",white noise
Bhavi,2322466,"Teca (Remix) [feat. Neo Pistea, Midel, Rei & Zecca], Cerca de ti (feat. Rusherking, Bhavi, Tobi) - Remix, Nat Geo (Remix), PUFF, PUFF","argentine hip hop, trap argentino, trap triste"
Neo Pistea,1418570,"Teca (Remix) [feat. Neo Pistea, Midel, Rei & Zecca], Pininfarina - Remix, Fifty Fifty","argentine hip hop, trap argentino"
Midel,696893,"Teca (Remix) [feat. Neo Pistea, Midel, Rei & Zecca]","argentine hip hop, trap argentino"
Tai Verdes,692499,A-O-K,"modern indie pop, singer-songwriter pop"
Sael,1691902,"Me Enseñaste - Remix, Esos Días, Q-Lito",urbano latino
Prince Royce,1136420,"Ayer Me Llamó Mi Ex – Remix, Te Espero","bachata, latin hip hop, latin pop, urbano latino"
Lyanno,1841564,"En Tu Cuerpo - Remix, Hasta Abajo, El Efecto - Remix, Toda Remix - Remix","reggaeton, trap boricua, trap latino, urbano latino"
Chucky73,1067900,"Chucky73: Bzrp Music Sessions, Vol. 43, Lambo - Remix","trap dominicano, trap latino"
bbno$,935005,"edamame (feat. Rich Brian), edamame (feat. Rich Brian)","canadian hip hop, dark trap, meme rap"
Rich Brian,935005,"edamame (feat. Rich Brian), edamame (feat. Rich Brian)",indonesian hip hop
Khalid,3084394,"As I Am (feat. Khalid), Numb, lovely (with Khalid), New Normal, Present, Eastside (with Halsey & Khalid), Otra Noche Sin Ti, Beautiful People (feat. Khalid), Better, working","pop, pop r&b"
Queen,1384102,"Thank God It's Christmas - 2011 Remaster, Bohemian Rhapsody - Remastered 2011, Don't Stop Me Now - Remastered 2011, Another One Bites The Dust - Remastered 2011","classic rock, glam rock, rock"
Belinda,676756,La Niña de la Escuela,"latin arena pop, latin pop, mexican pop"
Kylie Minogue,673761,Santa Baby,"australian dance, australian pop, dance pop, eurodance, new wave pop"
XXXTENTACION,1797898,"True Love, Jocelyn Flores, Revenge, Everybody Dies In Their Nightmares, SAD!, Falling Down - Bonus Track, Hope","emo rap, miami hip hop"
Chuck Berry,670011,Run Rudolph Run - Single Version,"blues, blues rock, classic rock, rock, rock-and-roll, rockabilly, soul"
Flume,2068348,"Say Nothing (feat. MAY-A), The Difference, Say Nothing (feat. MAY-A), Rushing Back, Highest Building (feat. Oklou)","australian dance, australian electropop, australian indie, downtempo, edm, indietronica"
MAY-A,1043881,"Say Nothing (feat. MAY-A), Say Nothing (feat. MAY-A)",australian alternative pop
Internet Money,1113512,"Lemonade (feat. Gunna, Don Toliver & NAV), His & Hers (feat. Don Toliver, Lil Uzi Vert & Gunna), TRAGIC (feat. Youngboy Never Broke Again & Internet Money)",pop rap
Don Toliver,1912534,"Lemonade (feat. Gunna, Don Toliver & NAV), Honest (feat. Don Toliver), Don’t Go (with Justin Bieber & Don Toliver), His & Hers (feat. Don Toliver, Lil Uzi Vert & Gunna), Flocky Flocky (feat. Travis Scott)","rap, trap"
NAV,669232,"Lemonade (feat. Gunna, Don Toliver & NAV)","canadian hip hop, canadian trap, melodic rap, rap, toronto rap, trap"
Megan Thee Stallion,4552238,"WAP (feat. Megan Thee Stallion), Sweetest Pie, Beautiful Mistakes (feat. Megan Thee Stallion), Thot Shit, Beautiful Mistakes (feat. Megan Thee Stallion), 34+35 Remix (feat. Doja Cat, Megan Thee Stallion) - Remix, DOLLA SIGN SLIME (feat. Megan Thee Stallion), Body, Butter - Megan Thee Stallion Remix, I DID IT (feat. Post Malone, Megan Thee Stallion, Lil Baby & DaBaby), 34+35 Remix (feat. Doja Cat, Megan Thee Stallion) - Remix","houston rap, pop, rap, trap queen"
Frank Ocean,1282916,"Lost, Lost","lgbtq+ hip hop, neo soul"
The Puppini Sisters,665004,Jingle Bells (feat. The Puppini Sisters),"easy listening, swing, swing revival"
Nicky Youre,698516,"Sunroof, Sunroof",singer-songwriter pop
Bella Poarch,663883,Build a Bitch,modern alternative pop
Kid Cudi,1240923,"IMY2 (with Kid Cudi), Pursuit Of Happiness (Nightmare), Show Out (with Skepta & Pop Smoke), Memories (feat. Kid Cudi)","hip hop, ohio hip hop, pop rap, rap"
Camila Cabello,2808429,"Bam Bam (feat. Ed Sheeran), Bam Bam (feat. Ed Sheeran), Don't Go Yet, Hasta Los Dientes, psychofreak (feat. WILLOW), Señorita, The Christmas Song (Shawn Mendes & Camila Cabello)","dance pop, pop"
Kevin Roldan,662923,Hasta Abajo,"reggaeton, reggaeton colombiano, trap latino, urbano latino"
Bryant Myers,918639,"Hasta Abajo, El Efecto - Remix","reggaeton, reggaeton flow, trap latino, urbano latino"
Julianno Sosa,960582,"Cochinae, Fifty Fifty",urbano chileno
King Savagge,661614,Cochinae,"mambo chileno, urbano chileno"
Ava Max,1524971,"My Head & My Heart, The Motto, Christmas Without You, Kings & Queens, Sad Boy (feat. Ava Max & Kylie Cantrall), Maybe You’re The Problem, EveryTime I Cry",pop
Burl Ives,659433,A Holly Jolly Christmas - Single Version,"adult standards, american folk revival"
Vance Joy,2638453,"Missing Piece, You (with Marshmello & Vance Joy), Clarity, Riptide, Clarity, Missing Piece, You (with Marshmello & Vance Joy)","folk-pop, modern rock"
CNCO,1329063,"Tan Enamorados, Tan Enamorados, Dejaría Todo","boy band, latin pop, reggaeton, urbano latino"
Jessica Darrow,1271049,"Surface Pressure - From ""Encanto""/Soundtrack Version, Surface Pressure",movie tunes
Tyler,5871260,"WUSYANAME (feat. Youngboy Never Broke Again & Ty Dolla $ign), LUMBERJACK, Here We Go… Again (feat. Tyler, the Creator), JUGGERNAUT (feat. Lil Uzi Vert & Pharrell Williams), LEMONHEAD (feat. 42 Dugg), Cash In Cash Out, CORSO, HOT WIND BLOWS (feat. Lil Wayne), SWEET / I THOUGHT YOU WANTED TO DANCE (feat. Brent Faiyaz & Fana Hues), LUMBERJACK, SIR BAUDELAIRE (feat. DJ Drama), MASSA, RUNITUP (feat. Teezo Touchdown), MANIFESTO (feat. Domo Genesis), OPEN A WINDOW (feat. Tyler, The Creator), WILSHIRE, RISE! (feat. DAISY WORLD)","hip hop, rap"
The Creator,5871260,"WUSYANAME (feat. Youngboy Never Broke Again & Ty Dolla $ign), LUMBERJACK, Here We Go… Again (feat. Tyler, the Creator), JUGGERNAUT (feat. Lil Uzi Vert & Pharrell Williams), LEMONHEAD (feat. 42 Dugg), Cash In Cash Out, CORSO, HOT WIND BLOWS (feat. Lil Wayne), SWEET / I THOUGHT YOU WANTED TO DANCE (feat. Brent Faiyaz & Fana Hues), LUMBERJACK, SIR BAUDELAIRE (feat. DJ Drama), MASSA, RUNITUP (feat. Teezo Touchdown), MANIFESTO (feat. Domo Genesis), OPEN A WINDOW (feat. Tyler, The Creator), WILSHIRE, RISE! (feat. DAISY WORLD)","hip hop, rap"
YoungBoy Never Broke Again,1270280,"WUSYANAME (feat. Youngboy Never Broke Again & Ty Dolla $ign), Late To Da Party (F*CK BET) (feat. YoungBoy Never Broke Again), TRAGIC (feat. Youngboy Never Broke Again & Internet Money)","baton rouge rap, rap"
Ty Dolla $ign,1590543,"WUSYANAME (feat. Youngboy Never Broke Again & Ty Dolla $ign), Get Along Better, Chosen (feat. Ty Dolla $ign), Family (feat. Bebe Rexha, Ty Dolla $ign & A Boogie Wit da Hoodie)","hip hop, pop rap, r&b, southern hip hop, trap, trap soul"
Juice WRLD,8564604,"Already Dead, Wandered To LA (with Justin Bieber), Cigarettes, Wishing Well, Wandered To LA (with Justin Bieber), Already Dead, Come & Go (with Marshmello), Burn, Lucid Dreams, Feline (with Polo G & Trippie Redd), GO (feat. Juice WRLD), Girl Of My Dreams (with SUGA of BTS), Robbery, All Girls Are The Same, Godzilla (feat. Juice WRLD), Reminds Me Of You, Rockstar In His Prime, Bad Boy (with Young Thug), You Wouldn't Understand, Doom, Not Enough, Matt Hardy 999 (feat. Juice WRLD), Sometimes, Cigarettes, Go Hard, Robbery","chicago rap, melodic rap, rap"
Agustín Casanova,650634,Bonita,cumbia pop
Tom Grennan,688646,"Little Bit of Love, By Your Side (feat. Tom Grennan)",uk pop
Dean Martin,1516724,"Let It Snow! Let It Snow! Let It Snow!, Baby, It's Cold Outside, Rudolph The Red-Nosed Reindeer, Silver Bells","adult standards, easy listening, lounge, vocal jazz"
The Marías,638460,Otro Atardecer,"bedroom pop, la indie"
Victor Heredia,633038,TIERRA ZANTA,"cantautor, folklore argentino, musica andina chilena, nueva cancion, rock nacional, trova"
AURORA,632375,Runaway,"art pop, norwegian pop"
The Pogues,630089,Fairytale of New York (feat. Kirsty MacColl),"celtic punk, celtic rock, folk punk, punk"
Kirsty MacColl,630089,Fairytale of New York (feat. Kirsty MacColl),new wave pop
RÜFÜS DU SOL,2388725,"On My Knees, Next to Me, On My Knees, I Don't Wanna Leave, Alive, Next to Me, Alive","australian electropop, indietronica"
Wiz Khalifa,889621,"The Thrill, Payphone, Young, Wild & Free (feat. Bruno Mars)","hip hop, pittsburgh rap, pop rap, rap, southern hip hop, trap"
Empire of the Sun,893205,"The Thrill, Walking On A Dream","australian dance, australian electropop, dance rock, indietronica, neo-synthpop"
Buscabulla,626350,Andrea,"latintronica, puerto rican indie"
